sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,score_text,v_score_text,two_year_recid
Male,31,25 - 45,Caucasian,0,0,0,6,F,Medium,Low,1
Male,31,25 - 45,Caucasian,0,0,0,5,F,Low,Low,0
Male,31,25 - 45,Caucasian,0,0,0,5,F,Low,Low,0
Male,31,25 - 45,Caucasian,0,0,0,5,F,Low,Low,0
Male,64,Greater than 45,African-American,0,0,0,13,F,Medium,Low,0
Male,64,Greater than 45,African-American,0,0,0,13,F,Medium,Low,0
Male,64,Greater than 45,African-American,0,0,0,13,F,Medium,Low,0
Male,21,Less than 25,African-American,0,0,0,1,F,High,High,0
Male,21,Less than 25,African-American,0,0,0,1,F,High,High,0
Male,21,Less than 25,African-American,0,0,0,1,F,High,High,0
Male,21,Less than 25,African-American,0,0,0,1,F,High,High,0
Male,21,Less than 25,African-American,0,0,0,1,F,High,High,0
Male,21,Less than 25,African-American,0,0,0,1,F,High,High,0
Male,27,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Female,21,Less than 25,Caucasian,0,0,0,0,F,Low,Medium,0
Male,24,Less than 25,Hispanic,0,0,0,1,F,Low,Medium,0
Male,42,25 - 45,Caucasian,0,0,0,1,F,downcast,Low,0
Male,43,25 - 45,Caucasian,0,0,0,1,M,Low,Low,0
Male,32,25 - 45,Other,0,0,0,0,M,Low,Low,0
Female,54,Greater than 45,African-American,0,0,0,0,F,High,Medium,0
Male,44,25 - 45,African-American,0,0,0,8,M,Medium,Low,0
Male,27,25 - 45,African-American,0,0,0,8,F,Low,Low,0
Male,27,25 - 45,African-American,0,0,0,8,F,Low,Low,0
Male,27,25 - 45,African-American,0,0,0,8,F,Low,Low,0
Male,27,25 - 45,African-American,0,0,0,8,F,Low,Low,1
Female,36,25 - 45,Caucasian,0,0,0,3,F,Low,Low,0
Female,36,25 - 45,Caucasian,0,0,0,3,F,Low,Low,0
Male,26,25 - 45,African-American,0,0,1,5,F,Medium,Medium,0
Male,26,25 - 45,African-American,0,0,1,5,F,Medium,Medium,0
Male,26,25 - 45,African-American,0,0,1,5,F,Medium,Medium,0
Male,33,25 - 45,African-American,0,0,0,0,F,High,Medium,0
Male,33,25 - 45,African-American,0,0,0,0,F,High,Medium,1
Male,30,25 - 45,Caucasian,0,0,0,9,F,High,High,0
Male,30,25 - 45,Caucasian,0,0,0,9,F,High,High,0
Male,32,25 - 45,African-American,0,0,0,4,F,High,Low,0
Male,32,25 - 45,African-American,0,0,0,4,F,High,Low,0
Male,63,Greater than 45,African-American,0,0,0,0,M,Low,Low,0
Male,27,25 - 45,Hispanic,0,0,0,2,F,Low,Low,0
Male,55,Greater than 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,32,25 - 45,African-American,0,0,0,15,F,High,High,0
Male,38,25 - 45,African-American,0,0,2,5,F,blue,Low,0
Male,38,25 - 45,African-American,0,0,2,5,F,Low,Low,0
Male,38,25 - 45,African-American,0,0,2,5,F,Low,Low,0
Male,53,Greater than 45,Caucasian,0,0,0,19,F,Medium,Low,0
Male,53,Greater than 45,Caucasian,0,0,0,19,F,Medium,Low,0
Male,49,Greater than 45,Other,0,0,0,7,F,Low,Low,0
Male,49,Greater than 45,Other,0,0,0,7,F,Low,Low,0
Male,49,Greater than 45,Other,0,0,0,7,F,Low,Low,0
Male,26,25 - 45,Caucasian,0,0,2,6,M,High,High,0
Male,26,25 - 45,Caucasian,0,0,2,6,M,High,High,0
Male,26,25 - 45,Caucasian,0,0,2,6,M,High,High,0
Female,33,25 - 45,Caucasian,0,0,0,4,M,Medium,Low,0
Female,33,25 - 45,Caucasian,0,0,0,4,M,Medium,Low,0
Female,33,25 - 45,Caucasian,0,0,0,4,M,Medium,Low,0
Female,33,25 - 45,Caucasian,0,0,0,4,M,Medium,Low,0
Male,24,Less than 25,Caucasian,0,0,0,1,M,Low,Low,0
Male,24,Less than 25,Caucasian,0,0,0,1,M,Low,Low,0
Male,34,25 - 45,African-American,2,1,3,21,F,luxuriously,Medium,0
Male,34,25 - 45,African-American,2,1,3,21,F,High,Medium,0
Male,34,25 - 45,African-American,2,1,3,21,F,High,Medium,0
Male,34,25 - 45,African-American,2,1,3,21,F,High,Medium,0
Male,29,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Female,21,Less than 25,African-American,0,0,0,2,F,High,High,0
Female,21,Less than 25,African-American,0,0,0,2,F,High,High,0
Female,21,Less than 25,African-American,0,0,0,2,F,High,High,0
Female,21,Less than 25,African-American,0,0,0,2,F,High,High,0
Male,51,Greater than 45,African-American,0,0,0,2,M,Low,Low,0
Male,29,25 - 45,Caucasian,0,0,0,2,M,Low,Low,0
Male,29,25 - 45,Caucasian,0,0,0,2,M,Low,Low,0
Male,25,25 - 45,African-American,0,0,0,0,F,Medium,Medium,0
Male,25,25 - 45,African-American,0,0,0,0,F,Medium,Medium,0
Female,51,Greater than 45,African-American,0,0,0,7,F,Low,Low,0
Female,51,Greater than 45,African-American,0,0,0,7,F,Low,Low,0
Male,28,25 - 45,Caucasian,0,0,0,8,F,Medium,Low,0
Male,36,25 - 45,African-American,0,0,0,22,M,High,High,0
Male,36,25 - 45,African-American,0,0,0,22,M,High,High,0
Male,29,25 - 45,African-American,0,0,0,0,F,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,0,F,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,0,F,Medium,Low,0
Male,29,25 - 45,Other,0,0,0,0,M,Low,Low,0
Male,25,25 - 45,Caucasian,0,0,0,9,M,High,High,1
Male,35,25 - 45,African-American,1,0,4,13,F,High,Low,1
Male,49,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,34,25 - 45,African-American,0,0,0,4,M,Low,Low,0
Male,29,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Male,29,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,29,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Female,28,25 - 45,Other,0,0,0,0,F,Low,Low,0
Male,51,Greater than 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,25,25 - 45,Caucasian,0,0,0,0,F,depression,Low,0
Male,48,Greater than 45,Caucasian,0,0,0,20,F,Medium,Low,0
Male,48,Greater than 45,Caucasian,0,0,0,20,F,Medium,Low,0
Male,48,Greater than 45,Caucasian,0,0,0,20,F,Medium,Low,0
Male,33,25 - 45,Caucasian,0,0,0,1,F,High,High,0
Male,33,25 - 45,Caucasian,0,0,0,1,F,High,High,0
Female,63,Greater than 45,Hispanic,0,0,0,1,F,Low,Low,0
Male,30,25 - 45,African-American,0,0,1,3,F,Medium,Low,0
Male,31,25 - 45,African-American,0,0,1,15,F,Medium,Medium,0
Male,24,Less than 25,African-American,0,0,0,2,F,Low,Low,0
Male,24,Less than 25,African-American,0,0,0,2,F,Low,Low,0
Male,24,Less than 25,African-American,0,0,0,2,F,Low,Low,0
Male,27,25 - 45,African-American,0,0,0,0,F,sensitive,Low,0
Male,32,25 - 45,Caucasian,0,0,0,3,F,High,Low,0
Male,30,25 - 45,Hispanic,0,0,0,0,M,Medium,Low,0
Male,49,Greater than 45,African-American,0,0,0,4,M,low-spirited,Low,0
Male,53,Greater than 45,Caucasian,0,0,0,8,F,Medium,Low,0
Female,31,25 - 45,Hispanic,0,0,0,0,M,Low,Low,0
Male,35,25 - 45,African-American,0,0,0,5,F,Low,Low,0
Male,63,Greater than 45,African-American,0,0,0,10,M,Medium,Medium,0
Male,33,25 - 45,African-American,0,0,0,2,F,Low,Low,0
Male,27,25 - 45,African-American,1,1,2,15,F,High,High,0
Male,27,25 - 45,African-American,1,1,2,15,F,High,High,0
Male,27,25 - 45,African-American,1,1,2,15,F,High,High,0
Male,38,25 - 45,Caucasian,0,0,0,4,M,Low,Low,0
Male,46,Greater than 45,Caucasian,3,1,0,9,F,Medium,Low,0
Male,46,Greater than 45,Caucasian,3,1,0,9,F,Medium,Low,0
Male,22,Less than 25,African-American,0,0,1,1,F,Low,Medium,0
Female,34,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,22,Less than 25,African-American,0,1,2,2,F,High,High,0
Male,22,Less than 25,African-American,0,1,2,2,F,High,High,0
Male,22,Less than 25,African-American,0,1,2,2,F,High,High,0
Male,29,25 - 45,African-American,0,0,0,4,F,High,Medium,0
Male,29,25 - 45,African-American,0,0,0,4,F,High,Medium,0
Male,29,25 - 45,African-American,0,0,0,4,F,High,Medium,0
Male,29,25 - 45,African-American,0,0,0,4,F,senior high school,Medium,0
Male,62,Greater than 45,Hispanic,0,0,0,0,M,Low,Low,0
Male,27,25 - 45,African-American,0,1,0,6,F,Medium,Low,0
Male,27,25 - 45,African-American,0,1,0,6,F,Medium,Low,0
Male,27,25 - 45,African-American,0,1,0,6,F,Medium,Low,0
Male,33,25 - 45,Other,0,0,0,0,M,Low,Low,0
Female,56,Greater than 45,African-American,0,0,0,0,M,Low,Low,0
Male,45,Greater than 45,Hispanic,0,0,0,6,F,Low,Low,0
Male,45,Greater than 45,Hispanic,0,0,0,6,F,Low,Low,1
Male,22,Less than 25,Hispanic,0,0,0,1,F,Low,Medium,0
Female,31,25 - 45,Caucasian,0,0,0,2,F,Low,Low,0
Male,34,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Male,39,25 - 45,African-American,0,0,0,1,M,Low,Low,0
Male,24,Less than 25,African-American,0,1,0,4,M,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,5,F,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,5,F,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,5,F,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,5,F,Medium,Low,0
Male,29,25 - 45,African-American,0,0,0,5,F,Medium,Low,0
Male,27,25 - 45,Caucasian,0,0,1,1,F,culture medium,Low,0
Male,27,25 - 45,Caucasian,0,0,1,1,F,spiritualist,Low,0
Male,27,25 - 45,Caucasian,0,0,1,1,F,Medium,Low,0
Male,27,25 - 45,Caucasian,0,0,1,1,F,Medium,Low,0
Female,24,Less than 25,Hispanic,0,0,0,1,M,Low,Low,0
Male,40,25 - 45,African-American,0,0,0,2,F,down in the mouth,Low,0
Male,51,Greater than 45,African-American,0,0,0,1,F,Low,Low,0
Male,51,Greater than 45,African-American,0,0,0,1,F,Low,Low,0
Male,22,Less than 25,African-American,0,0,0,1,M,Low,Low,0
Male,22,Less than 25,African-American,0,0,0,1,M,first,Low,0
Male,22,Less than 25,African-American,0,0,0,1,M,Low,Low,0
Male,22,Less than 25,Caucasian,0,0,0,0,F,High,Medium,0
Male,22,Less than 25,Caucasian,0,0,0,0,F,High,Medium,0
Male,22,Less than 25,Caucasian,0,0,0,0,F,High,Medium,0
Male,22,Less than 25,Caucasian,0,0,0,0,F,High,Medium,0
Male,22,Less than 25,Caucasian,0,0,0,0,F,High,Medium,0
Female,26,25 - 45,African-American,0,0,0,1,F,Low,Low,1
Male,27,25 - 45,Caucasian,0,0,0,1,F,Medium,High,1
Female,59,Greater than 45,African-American,0,0,0,2,F,low-down,Low,0
Male,32,25 - 45,Caucasian,0,0,0,3,M,Low,Low,0
Male,32,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Male,41,25 - 45,African-American,0,0,0,1,M,Low,Low,0
Male,50,Greater than 45,Caucasian,0,0,0,0,M,broken,Low,0
Male,30,25 - 45,African-American,0,0,0,8,M,High,High,0
Male,30,25 - 45,African-American,0,0,0,8,M,High,High,0
Male,30,25 - 45,African-American,0,0,0,8,M,High,High,1
Male,66,Greater than 45,African-American,0,0,0,0,M,High,Low,0
Male,52,Greater than 45,African-American,0,0,0,3,F,Medium,Low,0
Male,22,Less than 25,Caucasian,0,0,0,3,F,Medium,Medium,0
Male,50,Greater than 45,Other,0,0,0,0,F,Low,Low,0
Male,50,Greater than 45,Other,0,0,0,0,F,Low,Low,0
Male,25,25 - 45,African-American,1,6,1,14,F,High,High,0
Male,25,25 - 45,African-American,1,6,1,14,F,High,High,0
Male,25,25 - 45,African-American,1,6,1,14,F,High,High,0
Male,25,25 - 45,African-American,1,6,1,14,F,High,High,0
Male,25,25 - 45,African-American,1,6,1,14,F,High,High,1
Male,20,Less than 25,Other,0,0,0,0,F,Medium,High,1
Male,22,Less than 25,African-American,1,0,0,2,F,High,High,0
Male,22,Less than 25,African-American,1,0,0,2,F,high,High,0
Male,22,Less than 25,African-American,1,0,0,2,F,High,High,0
Male,23,Less than 25,African-American,0,0,1,2,M,Medium,High,0
Male,23,Less than 25,African-American,0,0,1,2,M,Medium,High,0
Male,54,Greater than 45,African-American,0,0,0,6,F,Medium,Medium,0
Male,54,Greater than 45,African-American,0,0,0,6,F,Medium,Medium,0
Male,40,25 - 45,Caucasian,0,0,0,4,F,Medium,Low,0
Male,40,25 - 45,Caucasian,0,0,0,4,F,Medium,Low,0
Male,25,25 - 45,African-American,0,0,0,10,F,Medium,Medium,0
Male,25,25 - 45,African-American,0,0,0,10,F,Medium,Medium,0
Female,35,25 - 45,African-American,0,0,0,1,M,Low,Low,0
Male,36,25 - 45,African-American,0,0,0,9,F,Medium,Medium,0
Male,36,25 - 45,African-American,0,0,0,9,F,Medium,Medium,0
Male,26,25 - 45,Caucasian,0,0,0,7,F,High,Low,0
Male,26,25 - 45,Caucasian,0,0,0,7,F,High,Low,0
Male,26,25 - 45,Caucasian,0,0,0,7,F,High,Low,0
Male,21,Less than 25,Other,0,0,0,1,F,Medium,Medium,0
Male,21,Less than 25,Other,0,0,0,1,F,Medium,Medium,0
Male,21,Less than 25,Other,0,0,0,1,F,Medium,Medium,0
Male,21,Less than 25,Other,0,0,0,1,F,average,Medium,0
Male,21,Less than 25,Other,0,0,0,1,F,Medium,Medium,0
Male,30,25 - 45,Caucasian,0,0,1,6,F,average,Low,0
Male,25,25 - 45,Caucasian,0,0,0,9,F,high up,High,0
Male,25,25 - 45,Caucasian,0,0,0,9,F,High,High,1
Male,71,Greater than 45,African-American,0,0,0,12,M,Medium,Low,0
Male,34,25 - 45,African-American,0,0,0,3,M,Low,Low,0
Female,20,Less than 25,Caucasian,0,0,0,0,F,Medium,High,0
Male,39,25 - 45,Caucasian,0,0,0,2,F,Low,Low,0
Male,39,25 - 45,Caucasian,0,0,0,2,F,Low,Low,0
Male,39,25 - 45,Caucasian,0,0,0,2,F,Low,Low,0
Male,39,25 - 45,Caucasian,0,0,0,2,F,Low,Low,0
Male,39,25 - 45,Caucasian,0,0,0,2,F,Low,Low,0
Male,39,25 - 45,Caucasian,0,0,0,2,F,Low,Low,0
Male,39,25 - 45,Caucasian,0,0,0,2,F,Low,Low,0
Male,39,25 - 45,Caucasian,0,0,0,2,F,Low,Low,0
Male,66,Greater than 45,Caucasian,0,0,0,3,F,Low,Low,0
Female,54,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,0
Female,44,25 - 45,Hispanic,0,0,0,0,M,Low,Low,0
Male,19,Less than 25,African-American,0,0,0,1,M,Low,Medium,1
Male,24,Less than 25,African-American,0,0,0,1,F,Low,Low,0
Male,24,Less than 25,African-American,0,0,0,1,F,Low,Low,0
Male,30,25 - 45,African-American,0,0,0,1,F,Low,Low,0
Female,39,25 - 45,Caucasian,0,0,0,0,F,Low,Low,1
Female,32,25 - 45,African-American,0,0,0,8,M,humble,Low,0
Male,24,Less than 25,Caucasian,0,1,2,8,F,Medium,Medium,0
Male,24,Less than 25,Caucasian,0,1,2,8,F,Medium,Medium,0
Male,24,Less than 25,Caucasian,0,1,2,8,F,Medium,Medium,0
Male,24,Less than 25,Caucasian,0,1,2,8,F,Medium,Medium,0
Male,24,Less than 25,Caucasian,0,1,2,8,F,spiritualist,Medium,0
Male,30,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,30,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,30,25 - 45,Caucasian,0,0,0,0,F,humiliated,Low,0
Male,31,25 - 45,Caucasian,0,0,0,0,M,Medium,Low,0
Female,39,25 - 45,Caucasian,0,0,0,1,F,crushed,Low,0
Female,39,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Female,39,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Female,39,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Female,39,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,59,Greater than 45,African-American,0,0,0,14,F,High,Low,1
Male,35,25 - 45,Caucasian,0,0,0,7,F,Medium,Low,0
Male,35,25 - 45,Caucasian,0,0,0,7,F,Medium,Low,0
Female,24,Less than 25,Other,0,0,0,0,F,Low,Low,0
Male,43,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,21,Less than 25,African-American,1,0,1,2,F,High,Medium,0
Male,21,Less than 25,African-American,1,0,1,2,F,High,Medium,0
Male,21,Less than 25,African-American,1,0,1,2,F,High,Medium,0
Male,21,Less than 25,African-American,1,0,1,2,F,High,Medium,0
Male,21,Less than 25,African-American,1,0,1,2,F,High,Medium,0
Male,21,Less than 25,African-American,1,0,1,2,F,High,Medium,0
Female,21,Less than 25,African-American,0,0,0,0,M,Low,Low,0
Male,21,Less than 25,African-American,0,0,0,3,F,High,Medium,0
Male,21,Less than 25,African-American,0,0,0,3,F,senior high,Medium,0
Male,21,Less than 25,African-American,0,0,0,3,F,High,Medium,0
Male,21,Less than 25,African-American,0,0,0,3,F,High,Medium,0
Male,21,Less than 25,African-American,0,0,0,3,F,High,Medium,0
Male,27,25 - 45,African-American,0,0,0,0,F,Medium,Low,0
Male,20,Less than 25,African-American,0,0,0,0,F,High,Medium,0
Male,20,Less than 25,African-American,0,0,0,0,F,High,Medium,0
Male,20,Less than 25,African-American,0,0,0,0,F,High,Medium,0
Male,20,Less than 25,African-American,0,0,0,0,F,High,Medium,0
Male,20,Less than 25,African-American,0,0,0,0,F,high,Medium,0
Male,20,Less than 25,African-American,0,0,0,0,F,High,Medium,0
Male,38,25 - 45,Caucasian,0,0,0,5,M,Low,Low,0
Male,38,25 - 45,Caucasian,0,0,0,5,M,Low,Low,0
Male,27,25 - 45,African-American,0,0,0,3,F,High,Low,0
Male,27,25 - 45,African-American,0,0,0,3,F,High,Low,0
Male,34,25 - 45,Caucasian,0,0,0,0,F,spiritualist,Medium,0
Male,34,25 - 45,Caucasian,0,0,0,0,F,Medium,Medium,0
Male,30,25 - 45,African-American,0,0,0,3,F,Low,Low,0
Male,33,25 - 45,African-American,0,0,0,5,F,Medium,Low,0
Male,37,25 - 45,African-American,0,0,0,3,F,Low,Low,0
Male,37,25 - 45,African-American,0,0,0,3,F,Low,Low,0
Male,42,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,42,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,42,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,41,25 - 45,African-American,0,1,0,10,F,High,Medium,0
Male,41,25 - 45,African-American,0,1,0,10,F,High,Medium,0
Male,22,Less than 25,African-American,0,0,0,0,F,Low,Medium,0
Male,22,Less than 25,African-American,0,0,0,0,F,first gear,Medium,0
Male,33,25 - 45,African-American,0,12,2,28,F,High,Medium,0
Male,33,25 - 45,African-American,0,12,2,28,F,senior high,Medium,0
Male,33,25 - 45,African-American,0,12,2,28,F,High,Medium,0
Male,44,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,31,25 - 45,African-American,0,0,0,1,M,Medium,High,0
Male,26,25 - 45,African-American,0,0,0,9,F,High,Medium,0
Male,26,25 - 45,African-American,0,0,0,9,F,High,Medium,0
Female,30,25 - 45,Other,0,0,0,1,F,Low,Low,0
Female,30,25 - 45,Other,0,0,0,1,F,Low,Low,0
Female,30,25 - 45,Other,0,0,0,1,F,Low,Low,0
Male,31,25 - 45,Caucasian,0,0,0,13,F,high-pitched,Medium,1
Male,27,25 - 45,African-American,0,0,0,3,F,High,Low,0
Female,31,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Female,31,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,47,Greater than 45,Hispanic,0,0,0,2,F,Low,Low,0
Male,56,Greater than 45,African-American,0,0,0,8,F,High,Low,0
Male,56,Greater than 45,African-American,0,0,0,8,F,High,Low,0
Male,33,25 - 45,Asian,0,0,0,2,M,High,High,0
Male,33,25 - 45,Asian,0,0,0,2,M,High,High,0
Male,33,25 - 45,Asian,0,0,0,2,M,High,High,0
Male,52,Greater than 45,Caucasian,0,0,0,3,M,High,Medium,0
Male,33,25 - 45,African-American,0,0,0,19,F,high up,Medium,0
Male,33,25 - 45,African-American,0,0,0,19,F,High,Medium,0
Male,61,Greater than 45,Caucasian,0,0,0,0,F,Low,Low,0
Female,64,Greater than 45,Caucasian,0,0,0,2,M,Low,Low,0
Male,22,Less than 25,Caucasian,0,0,0,4,F,Medium,High,0
Male,22,Less than 25,Caucasian,0,0,0,4,F,Medium,High,0
Male,42,25 - 45,Caucasian,0,0,0,6,F,lowly,Low,0
Male,42,25 - 45,Caucasian,0,0,0,6,F,Low,Low,0
Male,42,25 - 45,Caucasian,0,0,0,6,F,Low,Low,0
Female,25,25 - 45,Caucasian,0,0,0,2,F,Low,Medium,0
Female,25,25 - 45,Caucasian,0,0,0,2,F,Low,Medium,0
Male,27,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,30,25 - 45,Caucasian,0,0,0,1,M,Low,Low,0
Male,28,25 - 45,Caucasian,0,0,0,2,F,small,Low,0
Female,37,25 - 45,Other,0,0,0,2,M,Low,Low,0
Male,21,Less than 25,Caucasian,0,0,0,1,F,Medium,Medium,0
Male,28,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,28,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,28,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Female,24,Less than 25,African-American,0,0,0,0,M,Low,Low,0
Male,37,25 - 45,African-American,0,0,0,13,F,High,Medium,0
Male,37,25 - 45,African-American,0,0,0,13,F,High,Medium,0
Male,22,Less than 25,African-American,0,0,0,0,F,High,High,0
Male,22,Less than 25,African-American,0,0,0,0,F,High,High,0
Female,29,25 - 45,Caucasian,0,1,0,10,F,Low,Low,0
Female,29,25 - 45,Caucasian,0,1,0,10,F,Low,Low,0
Female,29,25 - 45,Caucasian,0,1,0,10,F,Low,Low,0
Female,29,25 - 45,Caucasian,0,1,0,10,F,Low,Low,0
Female,25,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Female,25,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,44,25 - 45,Caucasian,0,0,0,2,M,grim,Low,0
Female,30,25 - 45,Hispanic,0,0,0,4,F,Medium,Medium,1
Male,32,25 - 45,African-American,0,0,0,3,F,intermediate,Low,0
Male,32,25 - 45,African-American,0,0,0,3,F,Medium,Low,0
Male,32,25 - 45,African-American,0,0,0,3,F,Medium,Low,0
Male,53,Greater than 45,Hispanic,0,0,0,1,F,Low,Low,0
Male,34,25 - 45,Other,0,0,0,1,M,Low,Low,0
Male,31,25 - 45,Caucasian,0,0,0,2,M,Low,Low,0
Male,27,25 - 45,African-American,0,0,0,5,F,High,High,0
Male,27,25 - 45,African-American,0,0,0,5,F,High,High,0
Male,31,25 - 45,African-American,0,0,0,1,M,Low,Low,0
Male,59,Greater than 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,59,Greater than 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,59,Greater than 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,28,25 - 45,African-American,0,0,0,15,F,High,High,0
Female,45,Greater than 45,Caucasian,0,0,0,4,F,Low,Low,0
Male,23,Less than 25,Caucasian,0,0,0,0,M,Low,Low,0
Female,20,Less than 25,African-American,1,0,0,1,F,High,High,0
Female,20,Less than 25,African-American,1,0,0,1,F,High,High,0
Female,20,Less than 25,African-American,1,0,0,1,F,High,High,0
Male,42,25 - 45,African-American,0,0,0,2,F,Low,Low,0
Female,43,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,38,25 - 45,African-American,1,1,0,9,F,High,Low,0
Male,38,25 - 45,African-American,1,1,0,9,F,High,Low,0
Male,38,25 - 45,African-American,1,1,0,9,F,High,Low,0
Male,38,25 - 45,African-American,1,1,0,9,F,High,Low,0
Male,38,25 - 45,African-American,1,1,0,9,F,High,Low,0
Male,32,25 - 45,African-American,0,0,0,11,F,Medium,Medium,0
Male,32,25 - 45,African-American,0,0,0,11,F,Medium,Medium,1
Male,33,25 - 45,African-American,0,0,0,8,M,Medium,Low,1
Male,55,Greater than 45,African-American,0,0,0,4,M,High,Low,0
Male,55,Greater than 45,African-American,0,0,0,4,M,mellow,Low,0
Male,55,Greater than 45,African-American,0,0,0,4,M,highschool,Low,0
Female,31,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Female,31,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Female,31,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Female,33,25 - 45,African-American,0,0,0,7,F,High,High,0
Female,33,25 - 45,African-American,0,0,0,7,F,High,High,0
Female,33,25 - 45,African-American,0,0,0,7,F,High,High,0
Male,27,25 - 45,African-American,0,0,0,2,F,High,High,0
Male,27,25 - 45,African-American,0,0,0,2,F,High,High,0
